class,parameter,min,max,value,calibration
parDormancyInduction,limitingPhotoperiod,12.7,13.5,13,
parDormancyInduction,notLimitingPhotoperiod,12,12.7,12,
parDormancyInduction,limitingTemperature,14,27,20,
parDormancyInduction,notLimitingTemperature,2,8,5,
parDormancyInduction,photoThermalThreshold,10,40,20,x
parEndodormancy,limitingLowerTemperature,-10,-3,-10,
parEndodormancy,notLimitingLowerTemperature,-4,-1,-3.5,
parEndodormancy,notLimitingUpperTemperature,2,6,3.5,
parEndodormancy,limitingUpperTemperature,6,9,10,
parEndodormancy,chillingThreshold,50,120,70,x
parEcodormancy,notLimitingTemperature,18,24,21,
parEcodormancy,notLimitingPhotoperiod,9.5,12.5,11,
parEcodormancy,photoThermalThreshold,3,25,40,x
parGrowth,minimumTemperature,0,10,0,
parGrowth,optimumTemperature,14,25,22,
parGrowth,maximumTemperature,30,38,35,
parGrowth,thermalThreshold,25,45,25,x
parGreendown,thermalThreshold,50,130,50,x
parSenescence,photoThermalThreshold,60,90,40,x
parVegetationIndex,nVIGrowth,1.4,4,1,x
parVegetationIndex,nVISenescence,.1,.8,1,x
parVegetationIndex,nVIGreendown,.03,.2,1,x
parVegetationIndex,nVIEcodormancy,.4,.8,2,x
parVegetationIndex,nVIEndodormancy,.2,.8,.5,x
parVegetationIndex,minimumVI,.05,.25,.25,x
parVegetationIndex,maximumVI,.25,.8,.8,x
parPhotosynthesis,pixelTemperatureShift,-3,2,-1,
parPhotosynthesis,minimumTemperature,-3,3,-2,
parPhotosynthesis,optimumTemperature,15,24,18,
parPhotosynthesis,maximumTemperature,42,50,46,
parPhotosynthesis,halfSaturationTree,300,700,500,
parPhotosynthesis,halfSaturationUnder,50,150,200,
parPhotosynthesis,waterStressDays,30,90,60,
parPhotosynthesis,waterStressThreshold,.25,1,.7,
parPhotosynthesis,waterStressSensitivity,0.3,1,.65,
parPhotosynthesis,maximumQuantumYieldOver,.14,.25,.2,
parPhotosynthesis,maximumQuantumYieldUnder,.2,.32,.2,
parPhotosynthesis,growthPhenologyScalingFactor,0,.7,.3,
parPhotosynthesis,vpdSensitivity,2,8,5,
parPhotosynthesis,vpdMin,1.3,3,2,
parPhotosynthesis,vpdMax,4,6.5,5.5,
parPhotosynthesis,LightExtinctionCoefficient,.45,.55,.55,
parRespiration,activationEnergyParameterSoil,100,400,150,x
parRespiration,activationEnergyParameterOver,50,400,150,x
parRespiration,activationEnergyParameterUnder,50,400,150,x
parRespiration,referenceRespirationSoil,1,5,2,x
parRespiration,referenceRespirationOver,0,3.5,2,x
parRespiration,referenceRespirationUnder,0,3,2,x
parRespiration,respirationAgingFactor,0,1,0,x
parRespiration,respirationResponseUnder,.0001,.3,.1,x
parRespiration,respirationResponseOver,.0001,.3,.1,x
parRespiration,respirationSmoothingFactor,0,.2,.1,x